Image File,Prediction (Before Masking),Confidence (Before Masking),Prediction (After Masking),Confidence (After Masking),Counterfactual Found,Features Replaced,Feature Selection (%),SSIM,MSE,PSNR,UQI,VIFP,Time Taken (s)
town7_000003.png,GO,"[0.24111, 0.75889]",STOP,"[0.53408, 0.46592]",True,79.0,61.72%,0.63908,563.97315,20.61822,0.96824,0.17306,7.90832
town7_000009.png,GO,"[0.20072, 0.79928]",STOP,"[0.62477, 0.37523]",True,73.0,57.03%,0.66935,533.71203,20.85773,0.96792,0.18952,7.55839
town7_000010.png,GO,"[0.19973, 0.80027]",STOP,"[0.63996, 0.36004]",True,72.0,56.25%,0.65507,548.71872,20.73731,0.96501,0.1733,6.82327
town7_000016.png,GO,"[0.25251, 0.74749]",STOP,"[0.52572, 0.47428]",True,32.0,25.00%,0.71672,270.35341,23.81149,0.98337,0.2176,5.82758
town7_000024.png,GO,"[0.24877, 0.75123]",STOP,"[0.51207, 0.48793]",True,34.0,26.56%,0.73357,207.42297,24.96224,0.99212,0.23451,6.83968
town7_000027.png,GO,"[0.27811, 0.72189]",STOP,"[0.55607, 0.44393]",True,25.0,19.53%,0.77338,187.94333,25.39053,0.99345,0.27107,6.44446
town7_000028.png,GO,"[0.2786, 0.7214]",STOP,"[0.53428, 0.46572]",True,42.0,32.81%,0.77577,187.18487,25.4081,0.99343,0.25856,5.80219
town7_000041.png,GO,"[0.27394, 0.72606]",STOP,"[0.51092, 0.48908]",True,67.0,52.34%,0.75397,298.49648,23.38141,0.98851,0.24704,7.00349
town7_000044.png,GO,"[0.28384, 0.71616]",STOP,"[0.56625, 0.43375]",True,59.0,46.09%,0.69585,263.16451,23.92853,0.99099,0.22141,5.74155
town7_000054.png,GO,"[0.34445, 0.65555]",GO,"[0.35335, 0.64665]",False,128.0,100.00%,,,,,,6.97484
town7_000066.png,GO,"[0.12872, 0.87128]",STOP,"[0.60637, 0.39363]",True,106.0,82.81%,0.65313,817.42458,19.00633,0.96604,0.16324,5.93567
town7_000067.png,GO,"[0.14757, 0.85243]",STOP,"[0.50625, 0.49375]",True,96.0,75.00%,0.63434,997.44656,18.14191,0.95901,0.16043,6.75223
town7_000070.png,GO,"[0.1418, 0.8582]",STOP,"[0.60603, 0.39397]",True,74.0,57.81%,0.57115,771.62862,19.25672,0.95183,0.11857,6.55579
town7_000080.png,GO,"[0.32163, 0.67837]",STOP,"[0.50055, 0.49945]",True,36.0,28.12%,0.74771,235.10961,24.4181,0.98701,0.26027,7.25366
town7_000084.png,STOP,"[0.88723, 0.11277]",GO,"[0.41224, 0.58776]",True,46.0,35.94%,0.77249,178.58807,25.61228,0.98705,0.30201,7.72526
town7_000093.png,STOP,"[0.88502, 0.11498]",GO,"[0.4958, 0.5042]",True,42.0,32.81%,0.78993,146.59638,26.46957,0.99035,0.32298,7.0713
town7_000101.png,STOP,"[0.7357, 0.2643]",GO,"[0.39688, 0.60312]",True,3.0,2.34%,0.78655,114.20206,27.55406,0.99267,0.33583,6.18256
town7_000103.png,GO,"[0.27342, 0.72658]",STOP,"[0.51664, 0.48336]",True,80.0,62.50%,0.74992,226.29555,24.58404,0.98517,0.26682,6.14969
town7_000104.png,GO,"[0.18058, 0.81942]",STOP,"[0.52873, 0.47127]",True,96.0,75.00%,0.71726,505.23615,21.09586,0.96536,0.23358,6.85566
town7_000109.png,GO,"[0.13183, 0.86817]",STOP,"[0.50585, 0.49415]",True,102.0,79.69%,0.59519,698.13193,19.69143,0.95233,0.11037,5.41217
town7_000116.png,GO,"[0.44144, 0.55856]",STOP,"[0.56212, 0.43788]",True,105.0,82.03%,0.70219,271.54174,23.79244,0.94776,0.28136,6.60924
town7_000127.png,STOP,"[0.62155, 0.37845]",GO,"[0.48569, 0.51431]",True,3.0,2.34%,0.72315,127.33714,27.08125,0.98276,0.30805,6.25739
