Image File,Prediction (grid_based),Prediction (object_detection),Prediction (lime_on_image),Prediction (lime_on_latent),Prediction (lime_on_latent_nun)
town7_000066.png,LEFT,LEFT,LEFT,LEFT,GO
town7_000067.png,LEFT,LEFT,LEFT,LEFT,GO
town7_000070.png,LEFT,LEFT,LEFT,LEFT,GO
town7_000104.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_000116.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_000127.png,STOP,STOP,GO,STOP,STOP
town7_000129.png,STOP,GO,STOP,STOP,STOP
town7_000139.png,GO,STOP,STOP,STOP,STOP
town7_000140.png,STOP,STOP,GO,STOP,STOP
town7_000141.png,GO,GO,GO,GO,STOP
town7_000154.png,LEFT,LEFT,LEFT,LEFT,GO
town7_000156.png,LEFT,LEFT,LEFT,LEFT,GO
town7_000218.png,GO,GO,RIGHT,GO,GO
town7_000252.png,GO,GO,GO,GO,STOP
town7_000289.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_000290.png,LEFT,LEFT,RIGHT,LEFT,GO
town7_000335.png,GO,GO,STOP,GO,STOP
town7_000538.png,RIGHT,RIGHT,GO,RIGHT,GO
town7_000548.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_000549.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_000587.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_000588.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_000592.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_000655.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_000659.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_000688.png,STOP,GO,STOP,STOP,GO
town7_000815.png,RIGHT,RIGHT,GO,RIGHT,GO
town7_000821.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_000863.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_000864.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_000865.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_000993.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_000997.png,LEFT,RIGHT,RIGHT,LEFT,GO
town7_001094.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_001105.png,LEFT,LEFT,LEFT,LEFT,GO
town7_001113.png,LEFT,LEFT,LEFT,LEFT,GO
town7_001150.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_001152.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_001153.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_001193.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_001200.png,LEFT,LEFT,LEFT,LEFT,GO
town7_001228.png,STOP,STOP,STOP,STOP,GO
town7_001246.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_001247.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_001248.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_001252.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_001253.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_001273.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_001278.png,STOP,STOP,STOP,STOP,GO
town7_001287.png,STOP,STOP,STOP,STOP,GO
town7_001300.png,LEFT,LEFT,LEFT,LEFT,GO
town7_001372.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_001387.png,GO,GO,LEFT,LEFT,GO
town7_001389.png,GO,RIGHT,GO,GO,GO
town7_001428.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_001462.png,GO,STOP,STOP,STOP,GO
town7_001481.png,LEFT,LEFT,LEFT,LEFT,GO
town7_001484.png,LEFT,LEFT,LEFT,LEFT,GO
town7_001582.png,GO,RIGHT,GO,GO,GO
town7_001612.png,GO,GO,GO,GO,STOP
town7_001613.png,GO,GO,GO,GO,STOP
town7_001636.png,GO,STOP,STOP,STOP,GO
town7_001639.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_001640.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_001655.png,LEFT,LEFT,LEFT,LEFT,GO
town7_001686.png,GO,GO,GO,GO,STOP
town7_001789.png,LEFT,LEFT,LEFT,LEFT,GO
town7_001793.png,LEFT,LEFT,LEFT,LEFT,GO
town7_001818.png,LEFT,LEFT,LEFT,LEFT,GO
town7_001822.png,LEFT,LEFT,LEFT,LEFT,GO
town7_001832.png,LEFT,LEFT,LEFT,LEFT,STOP
town7_001996.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_002009.png,LEFT,LEFT,LEFT,LEFT,GO
town7_002011.png,LEFT,LEFT,LEFT,LEFT,GO
town7_002020.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_002023.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_002033.png,RIGHT,GO,GO,GO,GO
town7_002058.png,LEFT,LEFT,LEFT,LEFT,GO
town7_002059.png,LEFT,LEFT,LEFT,LEFT,GO
town7_002071.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_002075.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_002097.png,LEFT,LEFT,LEFT,LEFT,GO
town7_002103.png,LEFT,LEFT,LEFT,LEFT,GO
town7_002104.png,LEFT,LEFT,LEFT,LEFT,GO
town7_002106.png,LEFT,LEFT,LEFT,LEFT,GO
town7_002273.png,LEFT,LEFT,LEFT,LEFT,GO
town7_002274.png,LEFT,LEFT,LEFT,LEFT,GO
town7_002281.png,LEFT,LEFT,LEFT,LEFT,GO
town7_002286.png,LEFT,LEFT,LEFT,LEFT,GO
town7_002321.png,GO,GO,STOP,GO,GO
town7_002395.png,STOP,STOP,STOP,STOP,GO
town7_002396.png,STOP,GO,STOP,STOP,GO
town7_002399.png,STOP,GO,STOP,STOP,GO
town7_002405.png,GO,STOP,STOP,GO,GO
town7_002483.png,LEFT,LEFT,LEFT,LEFT,GO
town7_002485.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_002686.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_002690.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_002692.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_002694.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_002702.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_002708.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_002747.png,STOP,STOP,STOP,STOP,GO
town7_002748.png,STOP,STOP,GO,STOP,GO
town7_002753.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_002764.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_002769.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_002818.png,RIGHT,GO,RIGHT,RIGHT,GO
town7_002819.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_002824.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_002825.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_002834.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_002892.png,GO,GO,RIGHT,RIGHT,GO
town7_002899.png,LEFT,LEFT,RIGHT,LEFT,GO
