Image File,Prediction (Before Masking),Prediction (After Masking)
town7_000127.png,STOP,GO
town7_000128.png,STOP,GO
town7_000129.png,STOP,GO
town7_000130.png,STOP,GO
town7_000139.png,STOP,GO
town7_000140.png,STOP,GO
town7_001227.png,STOP,GO
town7_001228.png,STOP,GO
town7_001233.png,STOP,GO
town7_001236.png,STOP,GO
town7_001369.png,STOP,GO
town7_001444.png,STOP,GO
town7_001686.png,STOP,GO
town7_001833.png,STOP,GO
town7_001834.png,STOP,GO
town7_001843.png,STOP,GO
town7_001856.png,STOP,GO
town7_001871.png,STOP,GO
town7_001876.png,STOP,GO
town7_001897.png,STOP,GO
town7_001908.png,STOP,GO
town7_001909.png,STOP,GO
town7_001919.png,STOP,GO
town7_001928.png,STOP,GO
town7_001929.png,STOP,GO
town7_001950.png,STOP,GO
town7_001963.png,STOP,GO
town7_001967.png,STOP,GO
town7_001969.png,STOP,GO
town7_001970.png,STOP,GO
town7_001972.png,STOP,GO
town7_001973.png,STOP,GO
town7_001974.png,STOP,GO
town7_001977.png,STOP,GO
town7_001979.png,STOP,GO
town7_001981.png,STOP,GO
town7_002115.png,STOP,GO
town7_002130.png,STOP,GO
town7_002147.png,STOP,GO
town7_002162.png,STOP,GO
town7_002188.png,STOP,GO
town7_002198.png,STOP,GO
town7_002200.png,STOP,GO
town7_002201.png,STOP,GO
town7_002202.png,STOP,GO
town7_002209.png,STOP,GO
town7_002213.png,STOP,GO
town7_002220.png,STOP,GO
town7_002228.png,STOP,GO
town7_002250.png,STOP,GO
town7_002253.png,STOP,GO
town7_002254.png,STOP,GO
town7_002255.png,STOP,GO
town7_002266.png,STOP,GO
town7_002818.png,STOP,GO
town7_003236.png,STOP,GO
town7_003247.png,STOP,GO
town7_003257.png,STOP,GO
town7_003258.png,STOP,GO
town7_003259.png,STOP,GO
town7_003263.png,STOP,GO
town7_003264.png,STOP,GO
town7_003267.png,STOP,GO
town7_003289.png,STOP,GO
town7_003290.png,STOP,GO
town7_003291.png,STOP,GO
town7_003459.png,STOP,GO
town7_003660.png,STOP,GO
town7_003666.png,STOP,GO
town7_003892.png,STOP,GO
town7_003897.png,STOP,GO
town7_004006.png,STOP,GO
town7_004070.png,STOP,GO
town7_004114.png,STOP,GO
town7_004116.png,STOP,GO
town7_004121.png,STOP,GO
town7_004123.png,STOP,GO
town7_004168.png,STOP,GO
town7_004336.png,STOP,GO
town7_004517.png,STOP,GO
town7_004532.png,STOP,GO
town7_004536.png,STOP,GO
town7_004537.png,STOP,GO
town7_004546.png,STOP,GO
town7_004547.png,STOP,GO
town7_004551.png,STOP,GO
town7_004556.png,STOP,GO
town7_004560.png,STOP,GO
town7_004568.png,STOP,GO
town7_004569.png,STOP,GO
town7_004572.png,STOP,GO
town7_004575.png,STOP,GO
town7_004578.png,STOP,GO
town7_004585.png,STOP,GO
town7_004587.png,STOP,GO
town7_004593.png,STOP,GO
town7_004594.png,STOP,GO
town7_004603.png,STOP,GO
town7_004613.png,STOP,GO
town7_004621.png,STOP,GO
town7_004633.png,STOP,GO
town7_004635.png,STOP,GO
town7_004643.png,STOP,GO
town7_004645.png,STOP,GO
town7_004649.png,STOP,GO
town7_004650.png,STOP,GO
town7_004659.png,STOP,GO
town7_004662.png,STOP,GO
town7_004673.png,STOP,GO
town7_004674.png,STOP,GO
town7_004833.png,STOP,GO
town7_004860.png,STOP,GO
town7_004865.png,STOP,GO
town7_004867.png,STOP,GO
town7_004871.png,STOP,GO
town7_004878.png,STOP,GO
town7_004882.png,STOP,GO
town7_004889.png,STOP,GO
town7_004898.png,STOP,GO
town7_004899.png,STOP,GO
town7_004907.png,STOP,GO
town7_004911.png,STOP,GO
town7_004914.png,STOP,GO
town7_004918.png,STOP,GO
town7_004924.png,STOP,GO
town7_004925.png,STOP,GO
town7_004931.png,STOP,GO
town7_004938.png,STOP,GO
town7_004940.png,STOP,GO
town7_004947.png,STOP,GO
town7_004949.png,STOP,GO
town7_004951.png,STOP,GO
town7_004954.png,STOP,GO
town7_004957.png,STOP,GO
town7_004959.png,STOP,GO
town7_005207.png,STOP,GO
town7_005222.png,STOP,GO
town7_005616.png,STOP,GO
town7_005729.png,STOP,GO
town7_005802.png,STOP,GO
town7_006096.png,STOP,GO
town7_006097.png,STOP,GO
town7_006099.png,STOP,GO
town7_006102.png,STOP,GO
town7_006110.png,STOP,GO
town7_006112.png,STOP,GO
town7_006117.png,STOP,GO
town7_006121.png,STOP,GO
town7_006122.png,STOP,GO
town7_006123.png,STOP,GO
town7_006136.png,STOP,GO
town7_006575.png,STOP,GO
town7_006726.png,STOP,GO
town7_006830.png,STOP,GO
town7_006866.png,STOP,GO
town7_007003.png,STOP,GO
town7_007010.png,STOP,GO
town7_007024.png,STOP,GO
town7_007488.png,STOP,GO
town7_007777.png,STOP,GO
town7_007792.png,STOP,GO
